renewal_id,policy_id,expiry_date,offer_sent_date,response_date,outcome,new_premium
REN0001,POL0349,2024-08-14,2024-06-22,2024-07-14,Accepted,158.92
REN0002,POL0763,2023-09-14,2023-08-15,,No Response,175.68
REN0003,POL0310,2022-11-19,2022-10-14,2022-10-23,Rejected,135.92
REN0004,POL0404,2024-10-24,2024-09-15,2024-09-23,Rejected,189.71
REN0005,POL0383,2022-01-27,2021-12-10,2021-12-26,Rejected,126.63
REN0006,POL0249,2022-05-28,2022-04-20,2022-05-15,Accepted,129.09
REN0007,POL0731,2023-10-28,2023-08-30,2023-09-22,Rejected,205.45
REN0008,POL0208,2024-10-03,2024-08-14,2024-08-31,Accepted,146.02
REN0009,POL0680,2024-06-10,2024-04-25,2024-05-03,Rejected,286.26
REN0010,POL0308,2024-06-18,2024-05-18,,No Response,200.97
REN0011,POL0770,2024-11-02,2024-09-05,,No Response,213.2
REN0012,POL0195,2022-07-24,2022-06-14,2022-06-20,Accepted,234.85
REN0013,POL0762,2024-09-15,2024-07-18,2024-08-07,Rejected,127.3
REN0014,POL0091,2023-03-02,2023-01-25,2023-01-29,Accepted,181.83
REN0015,POL0784,2022-02-27,2021-12-31,2022-01-16,Accepted,179.95
REN0016,POL0626,2024-01-02,2023-11-29,2023-12-15,Rejected,77.26
REN0017,POL0525,2023-08-15,2023-07-01,,No Response,177.4
REN0018,POL0358,2022-10-07,2022-08-29,2022-09-18,Rejected,118.17
REN0019,POL0753,2024-08-23,2024-07-09,2024-08-02,Accepted,153.67
REN0020,POL0472,2023-07-11,2023-05-28,2023-06-07,Rejected,173.98
REN0021,POL0426,2024-12-08,2024-10-14,2024-10-23,Accepted,165.18
REN0022,POL0401,2024-10-25,2024-09-03,2024-09-18,Accepted,94.13
REN0023,POL0353,2023-12-06,2023-10-12,,No Response,109.45
REN0024,POL0596,2023-12-12,2023-10-16,,No Response,183.68
REN0025,POL0344,2022-12-09,2022-10-14,,No Response,108.8
REN0026,POL0394,2023-03-16,2023-01-22,2023-01-31,Accepted,45.07
REN0027,POL0299,2024-05-22,2024-04-08,2024-04-17,Accepted,72.03
REN0028,POL0064,2022-05-30,2022-04-06,2022-04-25,Accepted,113.97
REN0029,POL0771,2022-09-09,2022-07-16,2022-08-03,Rejected,94.61
REN0030,POL0402,2023-03-31,2023-02-08,2023-03-05,Rejected,240.65
REN0031,POL0158,2023-04-07,2023-02-25,,No Response,74.69
REN0032,POL0594,2022-06-07,2022-04-13,2022-04-17,Rejected,133.52
REN0033,POL0162,2024-12-02,2024-10-13,,No Response,170.1
REN0034,POL0129,2023-09-02,2023-07-27,,No Response,67.29
REN0035,POL0557,2022-12-11,2022-11-01,2022-11-22,Accepted,175.47
REN0036,POL0282,2023-03-10,2023-01-16,2023-01-27,Rejected,98.53
REN0037,POL0250,2022-05-31,2022-04-29,2022-05-07,Accepted,224.46
REN0038,POL0487,2024-08-21,2024-06-24,2024-06-29,Accepted,136.48
REN0039,POL0293,2022-07-10,2022-05-31,2022-06-21,Rejected,112.62
REN0040,POL0157,2022-02-26,2022-01-01,,No Response,97.89
REN0041,POL0298,2024-02-08,2024-01-05,2024-01-20,Accepted,211.44
REN0042,POL0083,2023-11-18,2023-10-11,2023-10-18,Accepted,218.9
REN0043,POL0424,2024-05-04,2024-03-26,2024-04-03,Rejected,62.51
REN0044,POL0759,2024-06-16,2024-05-02,2024-05-07,Accepted,110.04
REN0045,POL0747,2024-06-07,2024-04-23,2024-05-14,Rejected,88.5
REN0046,POL0688,2024-10-13,2024-09-10,2024-09-19,Accepted,116.86
REN0047,POL0764,2022-11-21,2022-09-28,2022-10-22,Accepted,276.72
REN0048,POL0480,2023-07-13,2023-06-09,2023-07-02,Accepted,135.12
REN0049,POL0089,2023-10-14,2023-09-12,,No Response,120.06
REN0050,POL0566,2023-03-06,2023-01-05,,No Response,146.1
REN0051,POL0339,2023-08-06,2023-06-09,2023-06-20,Accepted,116.71
REN0052,POL0107,2022-07-25,2022-05-31,2022-06-23,Rejected,73.63
REN0053,POL0490,2024-11-06,2024-09-12,2024-10-04,Rejected,133.45
REN0054,POL0015,2022-10-18,2022-09-01,2022-09-10,Rejected,152.94
REN0055,POL0074,2023-06-07,2023-04-17,2023-05-05,Accepted,148.38
REN0056,POL0455,2024-07-21,2024-05-31,2024-06-04,Accepted,91.05
REN0057,POL0643,2024-01-21,2023-12-08,2023-12-20,Accepted,125.56
REN0058,POL0410,2022-08-19,2022-07-07,,No Response,129.7
REN0059,POL0757,2023-07-03,2023-05-25,2023-06-04,Accepted,162.39
REN0060,POL0609,2023-09-23,2023-08-03,,No Response,205.03
REN0061,POL0040,2022-05-02,2022-03-15,2022-03-24,Accepted,203.01
REN0062,POL0262,2023-05-29,2023-04-13,2023-05-07,Accepted,227.07
REN0063,POL0696,2023-09-09,2023-07-13,,No Response,278.39
REN0064,POL0090,2022-11-15,2022-10-06,,No Response,166.35
REN0065,POL0709,2023-04-05,2023-02-14,2023-03-07,Accepted,121.6
REN0066,POL0668,2023-07-01,2023-05-27,2023-06-17,Rejected,164.25
REN0067,POL0248,2023-03-13,2023-02-07,2023-02-14,Accepted,92.08
REN0068,POL0065,2024-11-03,2024-09-11,,No Response,185.55
REN0069,POL0161,2024-05-17,2024-03-28,,No Response,292.69
REN0070,POL0374,2024-06-15,2024-04-18,2024-05-08,Rejected,173.8
REN0071,POL0271,2024-01-20,2023-12-02,,No Response,149.32
REN0072,POL0004,2024-02-10,2024-01-10,,No Response,260.07
REN0073,POL0537,2022-08-11,2022-07-07,2022-07-31,Accepted,196.04
REN0074,POL0095,2024-08-04,2024-06-27,,No Response,243.71
REN0075,POL0366,2022-11-21,2022-10-09,2022-10-15,Accepted,62.12
REN0076,POL0794,2024-09-19,2024-08-17,,No Response,57.42
REN0077,POL0386,2023-03-19,2023-01-25,2023-01-30,Rejected,105.3
REN0078,POL0697,2023-10-12,2023-08-31,2023-09-15,Rejected,184.08
REN0079,POL0142,2022-01-26,2021-12-01,2021-12-20,Accepted,180.23
REN0080,POL0779,2023-12-06,2023-10-07,2023-10-29,Rejected,137.43
REN0081,POL0296,2024-09-04,2024-07-28,,No Response,304.86
REN0082,POL0729,2022-11-11,2022-10-04,,No Response,184.54
REN0083,POL0785,2024-05-15,2024-03-25,,No Response,86.82
REN0084,POL0721,2024-06-11,2024-04-21,,No Response,137.5
REN0085,POL0156,2023-12-07,2023-10-22,,No Response,301.2
REN0086,POL0432,2024-02-05,2023-12-27,2024-01-01,Rejected,145.67
REN0087,POL0071,2022-12-08,2022-10-30,2022-11-19,Rejected,272.28
REN0088,POL0178,2022-09-23,2022-08-17,2022-08-27,Accepted,212.64
REN0089,POL0039,2024-11-19,2024-10-03,2024-10-06,Accepted,227.68
REN0090,POL0080,2022-06-26,2022-05-09,,No Response,54.84
REN0091,POL0708,2022-01-29,2021-12-17,2021-12-24,Accepted,169.98
REN0092,POL0266,2023-07-21,2023-05-27,,No Response,122.98
REN0093,POL0054,2022-07-02,2022-05-18,2022-05-28,Accepted,121.5
REN0094,POL0624,2023-06-13,2023-04-25,2023-04-28,Accepted,152.3
REN0095,POL0081,2024-08-08,2024-06-18,,No Response,152.89
REN0096,POL0214,2024-07-15,2024-05-21,2024-06-05,Accepted,251.33
REN0097,POL0194,2022-07-27,2022-06-11,2022-06-19,Rejected,194.1
REN0098,POL0738,2024-06-08,2024-04-19,2024-05-10,Accepted,51.87
REN0099,POL0427,2023-10-13,2023-09-09,2023-09-18,Rejected,103.71
REN0100,POL0765,2024-05-31,2024-04-05,2024-04-29,Rejected,111.81
REN0101,POL0570,2024-02-09,2024-01-08,2024-01-11,Accepted,52.76
REN0102,POL0387,2024-12-13,2024-11-08,2024-11-26,Accepted,105.36
REN0103,POL0297,2023-06-12,2023-05-06,2023-05-28,Accepted,194.66
REN0104,POL0633,2024-01-13,2023-11-29,2023-12-05,Accepted,167.51
REN0105,POL0076,2023-01-02,2022-11-22,2022-12-02,Accepted,138.71
REN0106,POL0724,2024-07-26,2024-06-02,2024-06-25,Rejected,195.95
REN0107,POL0059,2023-07-22,2023-05-25,2023-06-19,Accepted,68.77
REN0108,POL0138,2022-09-04,2022-07-14,2022-07-20,Accepted,98.8
REN0109,POL0322,2023-05-11,2023-03-22,,No Response,70.11
REN0110,POL0049,2022-09-28,2022-07-30,2022-08-12,Accepted,82.7
REN0111,POL0791,2024-05-20,2024-03-23,2024-03-31,Accepted,183.83
REN0112,POL0228,2024-12-29,2024-11-02,2024-11-12,Rejected,194.6
REN0113,POL0010,2022-08-12,2022-07-07,2022-07-26,Rejected,218.31
REN0114,POL0120,2023-05-03,2023-03-19,2023-03-24,Accepted,142.47
REN0115,POL0185,2022-09-10,2022-07-19,2022-08-04,Rejected,122.77
REN0116,POL0360,2023-07-06,2023-06-03,2023-06-26,Rejected,164.01
REN0117,POL0276,2023-02-28,2023-01-07,2023-01-24,Rejected,219.14
REN0118,POL0236,2023-08-26,2023-07-12,2023-07-20,Rejected,168.6
REN0119,POL0347,2024-03-09,2024-01-12,2024-01-16,Rejected,134.39
REN0120,POL0174,2022-04-21,2022-03-01,,No Response,128.14
REN0121,POL0409,2022-04-02,2022-03-03,2022-03-23,Rejected,140.78
REN0122,POL0433,2022-03-08,2022-01-31,2022-02-25,Rejected,160.32
REN0123,POL0251,2024-04-14,2024-03-12,2024-03-21,Accepted,216.23
REN0124,POL0795,2023-03-12,2023-01-29,2023-02-01,Rejected,87.53
REN0125,POL0581,2023-05-05,2023-03-09,2023-04-03,Accepted,76.16
REN0126,POL0103,2023-02-13,2023-01-06,2023-01-26,Accepted,188.77
REN0127,POL0425,2023-02-28,2023-01-08,2023-01-22,Rejected,108.51
REN0128,POL0715,2022-04-17,2022-03-04,2022-03-18,Rejected,124.62
REN0129,POL0621,2023-09-07,2023-07-12,2023-07-20,Accepted,266.7
REN0130,POL0051,2023-04-25,2023-03-23,2023-04-09,Accepted,79.59
REN0131,POL0128,2023-01-25,2022-12-03,2022-12-22,Rejected,115.5
REN0132,POL0746,2023-01-19,2022-11-27,2022-12-12,Rejected,75.42
REN0133,POL0067,2024-11-13,2024-10-14,2024-10-19,Accepted,263.34
REN0134,POL0400,2024-02-23,2024-01-08,2024-01-24,Accepted,194.24
REN0135,POL0602,2022-12-26,2022-11-12,2022-12-02,Rejected,124.75
REN0136,POL0033,2023-07-03,2023-05-30,,No Response,224.56
REN0137,POL0188,2022-11-10,2022-10-01,2022-10-10,Accepted,183.06
REN0138,POL0614,2023-12-08,2023-10-12,2023-10-20,Rejected,316.81
REN0139,POL0340,2024-02-20,2024-01-14,2024-01-22,Rejected,165.55
REN0140,POL0130,2022-04-22,2022-03-04,,No Response,89.73
REN0141,POL0096,2022-09-25,2022-08-05,,No Response,96.04
REN0142,POL0061,2024-03-13,2024-02-06,,No Response,47.06
REN0143,POL0256,2022-10-23,2022-08-24,,No Response,289.93
REN0144,POL0649,2024-12-06,2024-10-31,2024-11-19,Accepted,114.63
REN0145,POL0531,2022-03-11,2022-02-07,2022-02-20,Accepted,51.29
REN0146,POL0356,2024-02-14,2024-01-05,,No Response,110.12
REN0147,POL0378,2023-10-19,2023-09-11,2023-09-19,Accepted,122.66
REN0148,POL0631,2022-07-29,2022-06-16,,No Response,102.81
REN0149,POL0025,2022-10-02,2022-08-26,,No Response,130.87
REN0150,POL0598,2024-09-22,2024-08-10,2024-08-28,Rejected,230.15
REN0151,POL0576,2023-03-20,2023-02-18,2023-02-28,Rejected,211.16
REN0152,POL0678,2024-12-27,2024-11-07,2024-11-18,Accepted,291.03
REN0153,POL0711,2024-05-06,2024-03-11,2024-03-30,Accepted,133.55
REN0154,POL0072,2023-11-18,2023-10-09,2023-10-12,Rejected,130.15
REN0155,POL0603,2022-08-28,2022-07-01,2022-07-09,Accepted,80.75
REN0156,POL0595,2024-12-02,2024-10-14,,No Response,44.69
REN0157,POL0038,2024-12-26,2024-11-03,2024-11-11,Accepted,201.94
REN0158,POL0213,2024-07-19,2024-06-16,,No Response,135.76
REN0159,POL0489,2024-08-31,2024-07-25,2024-08-08,Accepted,166.86
REN0160,POL0789,2024-02-13,2023-12-21,2023-12-30,Rejected,70.82
REN0161,POL0691,2024-10-01,2024-08-19,,No Response,224.9
REN0162,POL0515,2023-08-27,2023-07-11,2023-08-02,Accepted,64.57
REN0163,POL0646,2022-06-18,2022-05-08,2022-05-20,Accepted,102.2
REN0164,POL0435,2024-07-26,2024-06-16,2024-07-10,Accepted,169.59
REN0165,POL0406,2022-05-27,2022-04-05,,No Response,98.77
REN0166,POL0450,2023-03-21,2023-02-04,,No Response,102.81
REN0167,POL0506,2022-10-22,2022-09-08,2022-09-23,Accepted,171.74
REN0168,POL0701,2022-10-06,2022-08-26,,No Response,135.79
REN0169,POL0428,2022-03-02,2022-01-13,2022-02-01,Accepted,149.44
REN0170,POL0253,2022-05-29,2022-03-30,2022-04-23,Accepted,170.72
REN0171,POL0736,2022-07-16,2022-05-19,,No Response,200.09
REN0172,POL0465,2022-08-22,2022-06-27,2022-07-21,Accepted,151.63
REN0173,POL0206,2024-09-13,2024-08-05,,No Response,124.75
REN0174,POL0754,2022-04-15,2022-03-14,,No Response,120.25
REN0175,POL0193,2022-08-15,2022-06-25,2022-07-16,Accepted,199.18
REN0176,POL0453,2023-11-10,2023-10-08,2023-10-19,Accepted,70.15
REN0177,POL0749,2024-03-19,2024-02-08,2024-02-26,Accepted,80.79
REN0178,POL0516,2022-05-06,2022-03-25,2022-04-10,Accepted,221.25
REN0179,POL0408,2022-12-13,2022-10-26,2022-11-02,Rejected,215.25
REN0180,POL0337,2023-06-17,2023-05-06,,No Response,196.27
REN0181,POL0514,2024-08-18,2024-07-18,2024-07-24,Rejected,252.4
REN0182,POL0123,2024-02-15,2024-01-07,2024-01-25,Rejected,155.84
REN0183,POL0134,2024-08-10,2024-06-27,,No Response,188.34
REN0184,POL0723,2024-08-14,2024-06-17,2024-06-26,Rejected,163.25
REN0185,POL0246,2024-09-23,2024-08-16,,No Response,202.26
REN0186,POL0317,2024-08-01,2024-06-25,2024-07-14,Accepted,211.08
REN0187,POL0109,2023-04-30,2023-03-17,2023-03-24,Rejected,136.65
REN0188,POL0012,2024-05-31,2024-04-25,,No Response,76.72
REN0189,POL0106,2022-04-30,2022-03-02,2022-03-23,Accepted,185.34
REN0190,POL0619,2023-01-16,2022-12-12,2022-12-31,Accepted,78.54
REN0191,POL0471,2023-01-19,2022-12-05,,No Response,198.93
REN0192,POL0611,2023-02-05,2022-12-21,2023-01-07,Rejected,211.27
REN0193,POL0439,2024-03-26,2024-02-06,2024-02-15,Accepted,185.87
REN0194,POL0636,2022-06-09,2022-04-17,2022-05-05,Rejected,184.38
REN0195,POL0242,2023-11-10,2023-09-21,2023-10-16,Accepted,118.96
REN0196,POL0167,2024-04-08,2024-03-09,,No Response,113.84
REN0197,POL0037,2022-12-06,2022-10-19,2022-11-12,Accepted,191.88
REN0198,POL0053,2022-09-04,2022-07-14,2022-08-02,Accepted,164.93
REN0199,POL0052,2022-09-29,2022-08-18,2022-08-30,Rejected,177.51
REN0200,POL0084,2024-05-09,2024-03-19,2024-04-09,Rejected,50.9
REN0201,POL0197,2023-11-05,2023-09-26,,No Response,94.42
REN0202,POL0247,2022-12-09,2022-10-19,2022-11-13,Accepted,222.28
REN0203,POL0703,2023-10-17,2023-09-15,2023-10-05,Rejected,201.24
REN0204,POL0077,2023-04-05,2023-02-20,2023-02-27,Rejected,153.18
REN0205,POL0016,2022-07-19,2022-06-09,,No Response,192.19
REN0206,POL0786,2022-09-11,2022-07-17,2022-07-29,Rejected,241.75
REN0207,POL0657,2024-10-16,2024-08-17,2024-08-25,Rejected,118.58
REN0208,POL0210,2024-10-17,2024-09-14,2024-09-23,Rejected,105.39
REN0209,POL0323,2022-11-16,2022-09-23,2022-10-04,Accepted,88.75
REN0210,POL0423,2022-11-07,2022-10-04,2022-10-19,Accepted,92.34
REN0211,POL0590,2023-04-07,2023-02-28,,No Response,159.31
REN0212,POL0486,2024-08-11,2024-07-07,,No Response,102.89
REN0213,POL0776,2023-11-24,2023-10-13,2023-11-01,Accepted,269.74
REN0214,POL0209,2024-04-05,2024-03-01,2024-03-10,Rejected,115.15
REN0215,POL0534,2023-07-21,2023-06-20,2023-07-01,Accepted,180.61
REN0216,POL0523,2022-04-18,2022-02-22,,No Response,164.97
REN0217,POL0098,2022-09-21,2022-07-25,,No Response,195.78
REN0218,POL0532,2022-09-03,2022-07-27,,No Response,208.65
REN0219,POL0420,2023-11-15,2023-10-14,2023-10-31,Accepted,251.24
REN0220,POL0538,2023-06-15,2023-04-18,,No Response,113.52
REN0221,POL0093,2023-05-24,2023-04-06,2023-04-29,Accepted,155.84
REN0222,POL0031,2023-03-28,2023-02-02,,No Response,139.66
REN0223,POL0020,2024-07-09,2024-05-23,,No Response,86.36
REN0224,POL0448,2022-08-29,2022-07-10,2022-07-25,Rejected,153.06
REN0225,POL0281,2024-10-24,2024-09-21,2024-09-26,Rejected,161.12
REN0226,POL0752,2024-05-14,2024-04-11,2024-04-27,Accepted,123.08
REN0227,POL0333,2023-07-07,2023-05-23,2023-05-31,Accepted,198.35
REN0228,POL0375,2023-10-25,2023-09-04,2023-09-12,Accepted,130.27
REN0229,POL0456,2024-01-25,2023-11-28,2023-12-15,Accepted,265.93
REN0230,POL0164,2024-09-13,2024-07-31,,No Response,263.4
REN0231,POL0416,2024-03-06,2024-01-16,,No Response,212.05
REN0232,POL0392,2024-01-08,2023-11-11,2023-12-04,Accepted,177.1
REN0233,POL0042,2022-10-19,2022-09-16,2022-09-19,Rejected,130.42
REN0234,POL0507,2024-07-22,2024-06-12,2024-06-23,Rejected,181.05
REN0235,POL0727,2024-05-02,2024-03-03,2024-03-22,Accepted,70.34
REN0236,POL0014,2023-12-08,2023-10-31,2023-11-21,Accepted,97.11
REN0237,POL0030,2024-10-04,2024-08-14,,No Response,188.84
REN0238,POL0364,2023-05-25,2023-03-26,2023-04-15,Rejected,256.14
REN0239,POL0263,2022-07-24,2022-06-14,,No Response,54.82
REN0240,POL0474,2024-06-27,2024-05-28,,No Response,222.72
REN0241,POL0783,2022-07-10,2022-06-02,2022-06-14,Rejected,84.58
REN0242,POL0647,2024-06-28,2024-05-22,,No Response,165.42
REN0243,POL0099,2022-12-11,2022-10-21,2022-11-05,Rejected,175.48
REN0244,POL0398,2022-03-18,2022-02-07,2022-02-11,Accepted,222.87
REN0245,POL0399,2023-12-14,2023-10-25,2023-11-05,Accepted,174.78
REN0246,POL0672,2023-08-12,2023-07-13,2023-08-03,Rejected,77.84
REN0247,POL0314,2024-04-13,2024-02-20,2024-03-13,Accepted,111.74
REN0248,POL0241,2024-05-01,2024-03-25,,No Response,96.08
REN0249,POL0232,2023-05-02,2023-03-14,2023-03-21,Rejected,201.94
REN0250,POL0758,2024-07-07,2024-05-13,2024-05-31,Accepted,60.59
REN0251,POL0549,2023-11-23,2023-10-02,2023-10-17,Accepted,92.86
REN0252,POL0468,2024-12-03,2024-10-21,2024-11-01,Accepted,218.87
REN0253,POL0110,2023-12-22,2023-11-11,2023-11-17,Accepted,181.78
REN0254,POL0664,2022-09-20,2022-08-16,2022-08-23,Accepted,155.27
REN0255,POL0355,2023-01-22,2022-12-17,2022-12-21,Accepted,193.98
REN0256,POL0363,2022-05-27,2022-04-19,,No Response,123.4
REN0257,POL0442,2024-03-16,2024-01-31,2024-02-22,Rejected,97.7
REN0258,POL0217,2023-01-20,2022-11-26,,No Response,151.37
REN0259,POL0650,2022-12-12,2022-10-13,2022-10-20,Rejected,254.31
REN0260,POL0354,2023-09-06,2023-08-02,2023-08-17,Accepted,162.42
REN0261,POL0183,2023-12-03,2023-10-26,2023-11-17,Rejected,102.49
REN0262,POL0088,2023-08-21,2023-07-18,2023-08-04,Rejected,82.15
REN0263,POL0395,2022-07-13,2022-05-20,2022-06-11,Rejected,89.08
REN0264,POL0079,2024-04-01,2024-02-07,,No Response,172.7
REN0265,POL0630,2022-01-27,2021-12-20,2021-12-24,Accepted,78.35
REN0266,POL0222,2024-10-29,2024-09-20,2024-10-01,Accepted,160.51
REN0267,POL0283,2024-04-29,2024-03-18,2024-04-05,Accepted,125.07
REN0268,POL0105,2024-03-06,2024-01-21,2024-02-15,Accepted,63.85
REN0269,POL0683,2024-05-14,2024-03-16,2024-04-10,Accepted,118.98
REN0270,POL0137,2024-09-02,2024-07-16,2024-08-04,Rejected,92.74
REN0271,POL0149,2023-09-08,2023-07-14,2023-08-05,Accepted,98.69
REN0272,POL0760,2022-09-26,2022-08-08,2022-08-21,Accepted,190.52
REN0273,POL0286,2022-04-25,2022-03-04,2022-03-22,Rejected,157.22
REN0274,POL0001,2024-06-20,2024-05-02,,No Response,278.52
REN0275,POL0790,2024-07-19,2024-06-19,2024-07-07,Rejected,246.63
REN0276,POL0645,2022-08-14,2022-06-30,2022-07-22,Rejected,165.04
REN0277,POL0556,2022-04-04,2022-02-06,,No Response,82.35
REN0278,POL0562,2024-10-20,2024-09-07,2024-09-19,Accepted,55.32
REN0279,POL0136,2024-03-03,2024-01-30,2024-02-20,Accepted,158.49
REN0280,POL0272,2024-08-09,2024-07-02,,No Response,54.44
REN0281,POL0370,2024-01-31,2023-12-22,2024-01-02,Accepted,75.86
REN0282,POL0692,2023-05-20,2023-04-13,2023-04-23,Accepted,200.03
REN0283,POL0336,2022-05-03,2022-03-09,2022-03-12,Rejected,77.06
REN0284,POL0797,2023-09-17,2023-08-02,2023-08-22,Accepted,138.68
REN0285,POL0173,2024-08-25,2024-07-07,2024-07-22,Accepted,177.51
REN0286,POL0639,2023-12-21,2023-11-21,,No Response,60.18
REN0287,POL0539,2022-02-08,2021-12-29,2022-01-15,Accepted,130.74
REN0288,POL0728,2023-08-06,2023-06-25,2023-07-13,Accepted,207.94
REN0289,POL0777,2022-11-06,2022-10-05,2022-10-10,Rejected,92.29
REN0290,POL0329,2023-03-08,2023-01-21,2023-02-05,Rejected,101.16
REN0291,POL0543,2022-04-24,2022-03-21,2022-04-13,Accepted,207.07
REN0292,POL0056,2024-12-22,2024-11-19,2024-11-26,Rejected,207.84
REN0293,POL0318,2023-03-28,2023-02-15,2023-02-19,Accepted,133.47
REN0294,POL0231,2024-01-05,2023-11-11,2023-11-21,Accepted,103.44
REN0295,POL0799,2022-01-05,2021-11-25,2021-12-03,Rejected,151.6
REN0296,POL0674,2024-05-24,2024-04-04,2024-04-21,Rejected,200.99
REN0297,POL0126,2023-11-24,2023-09-25,2023-09-29,Rejected,207.73
REN0298,POL0740,2024-06-14,2024-04-22,,No Response,205.33
REN0299,POL0610,2022-04-23,2022-02-23,2022-03-08,Accepted,106.66
REN0300,POL0384,2024-01-10,2023-12-04,2023-12-15,Rejected,261.73
